FUNCTION,NONE,PARTIAL1,PARTIAL2,FULL
TIM1_ETR,PA12,PA12,,PE7
TIM1_CH1,PA8,PA8,,PE9
TIM1_CH2,PA9,PA9,,PE11
TIM1_CH3,PA10,PA10,,PE13
TIM1_CH4,PA11,PA11,,PE14
TIM1_BKIN,PB12,PA6,,PE15
TIM1_CH1N,PB13,PA7,,PE8
TIM1_CH2N,PB14,PB0,,PE10
TIM1_CH3N,PB15,PB1,,PE12
,,,,
TIM2_ETR,PA0,PA15,PA0,PA15
TIM2_CH1,PA0,PA15,PA0,PA15
TIM2_CH2,PA1,PB3,PA1,PB3
TIM2_CH3,PA2,PA2,PB10,PB10
TIM2_CH4,PA3,PA3,PB11,PB11
,,,,
TIM3_ETR,PD2,,,
TIM3_CH1,PA6,,PB4,PC6
TIM3_CH2,PA7,,PB5,PC7
TIM3_CH3,PB0,,PB0,PC8
TIM3_CH4,PB1,,PB1,PC9
,,,,
TIM4_ETR,PE0,,,
TIM4_CH1,PB6,,,PD12
TIM4_CH2,PB7,,,PD13
TIM4_CH3,PB8,,,PD14
TIM4_CH4,PB9,,,PD15
,,,,
TIM5_CH1,PA0,,,
TIM5_CH2,PA1,,,
TIM5_CH3,PA2,,,
TIM5_CH4,PA3,,,
,,,,
TIM8_ETR,PA0,,,
TIM8_BKIN,PA6,,,
TIM8_CH1N,PA7,,,
TIM8_CH2N,PB0,,,
TIM8_CH3N,PB1,,,
TIM8_CH1,PC6,,,
TIM8_CH2,PC7,,,
TIM8_CH3,PC8,,,
TIM8_CH4,PC9,,,
,,,,
TIM9_CH1,PA2,,,PE5
TIM9_CH2,PA3,,,PE6
,,,,
TIM10_CH1,PB8,,,PF6
,,,,
TIM11_CH1,PB9,,,PF7
,,,,
TIM13_CH1,PA6,,,PF8
,,,,
TIM14_CH1,PA7,,,PF9
